path	type	lang_tree	template	title	bytes
/8-category-en/550-zaleplon-12-04-2018.html	html	en	T2-article-detail	Zaleplon (12-04-2018) - Indian Pharmacopoeia Commission	85666
/8-category-en/551-zaleplon-capsules-12-04-2018.html	html	en	T2-article-detail	Zaleplon Capsules (12-04-2018) - Indian Pharmacopoeia Commission	83064
/8-category-en/562-adr-rs-2018.html	html	en	T2-article-detail	Year 2018 - Indian Pharmacopoeia Commission	69884
/8-category-en/563-adr-rs-2017.html	html	en	T2-article-detail	Year 2017 - Indian Pharmacopoeia Commission	70880
/8-category-en/565-adr-rs-2016.html	html	en	T2-article-detail	Year 2016 - Indian Pharmacopoeia Commission	68555
/8-category-en/569-mpr-2018.html	html	en	T2-article-detail	Year 2018 - Indian Pharmacopoeia Commission	68494
/8-category-en/602-drug-alerts-2019.html	html	en	T2-article-detail	Drug Alerts 2019 - Indian Pharmacopoeia Commission	70814
/8-category-en/611-adr-rs-2019.html	html	en	T2-article-detail	Year 2019 - Indian Pharmacopoeia Commission	69496
/8-category-en/611-year-2019.html	html	en	T2-article-detail	Year 2019 - Indian Pharmacopoeia Commission	69494
/8-category-en/618-manuals-under-rti.html	html	en	T2-article-detail	General infromation - Indian Pharmacopoeia Commission	73651
/8-category-en/633-stakeholder-comments.html	html	en	T2-article-detail	Stakeholder Comments - Indian Pharmacopoeia Commission	69189
/8-category-en/730-adr-rs-2020.html	html	en	T2-article-detail	Year 2020 - Indian Pharmacopoeia Commission	69559
/8-category-en/763-revised-advisory-on-the-use-of-hydroxychloroquine-hcq-as-prophylaxis-for-covid-19-infection-in-supersession-of-previous-advisory-dated-23rd-march,-2020.html	html	en	T2-article-detail	Revised advisory on the use of Hydroxychloroquine (HCQ) as prophylaxis for COVID-19 infection (in supersession of previous advisory dated 23rd March, 2020) - Indian Pharmacopoeia Commission	69090
/8-category-en/812-drug-alerts-2021.html	html	en	T2-article-detail	Drug Alerts 2021 - Indian Pharmacopoeia Commission	73947
